state,year,age,stname,pmu,pru,pmuse,pruse,year0,mmlf,mmll,mml_1,mml0,mml1,mml2,treated,treatex,mmlwall,wall
"Alaska",2007,"12-17y","Alaska",8.03,28.83,.9183673,1.964286,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2007,"18-25y","Alaska",20.24,18.19,1.862245,1.556122,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2007,"26+y","Alaska",7.28,32.46,1.022959,1.836735,"2007-8","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2008,"12+y","Alaska",11.53,27.77,.9489796,1.428571,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2008,"12-17y","Alaska",9.18,27.96,1.081633,1.913265,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2008,"18-25y","Alaska",25.21,17.09,1.836735,1.454082,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Alaska",2008,"26+y","Alaska",9.31,29.76,1.15051,1.811224,"2008-9","yes","yes",0,0,0,0,"yes","yes","Already MML","MML-post"
"Arizona",2002,"12+y","Arizona",5.68,40.53,.5841837,1.709184,"2002-3","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2002,"12-17y","Arizona",7.74,34.76,.9540817,2.015306,"2002-3","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2002,"18-25y","Arizona",15.18,26.48,1.454082,1.709184,"2002-3","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2002,"26+y","Arizona",3.67,43.9,.6709183,2.142857,"2002-3","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2003,"12+y","Arizona",5.9,40.19,.5714286,1.683674,"2003-4","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2003,"12-17y","Arizona",8.33,35.12,1.048469,2.040816,"2003-4","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2003,"18-25y","Arizona",14.93,28.21,1.377551,1.785714,"2003-4","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2003,"26+y","Arizona",3.91,43.09,.622449,2.091837,"2003-4","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2004,"12+y","Arizona",5.33,39.63,.5076531,1.658163,"2004-5","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2004,"12-17y","Arizona",8.2,33.17,1.053571,2.015306,"2004-5","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2004,"18-25y","Arizona",13.15,26.18,1.403061,1.760204,"2004-5","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2004,"26+y","Arizona",3.51,42.99,.5408163,2.091837,"2004-5","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2005,"12+y","Arizona",5.18,38.72,.494898,1.658163,"2005-6","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2005,"12-17y","Arizona",7.24,31.03,.9540817,1.938776,"2005-6","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2005,"18-25y","Arizona",14.08,25.7,1.428571,1.785714,"2005-6","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2005,"26+y","Arizona",3.31,42.12,.5306122,2.066327,"2005-6","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2006,"12+y","Arizona",5.32,39.07,.5102041,1.530612,"2006-7","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2006,"12-17y","Arizona",6.02,34.88,.6989796,1.938776,"2006-7","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2006,"18-25y","Arizona",15.14,29.13,1.479592,1.785714,"2006-7","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2006,"26+y","Arizona",3.53,41.37,.497449,1.862245,"2006-7","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2007,"12+y","Arizona",5.8,38.36,.5790817,1.607143,"2007-8","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2007,"12-17y","Arizona",6.54,34.69,.7346939,2.015306,"2007-8","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2007,"18-25y","Arizona",16.08,28.04,1.632653,1.862245,"2007-8","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2007,"26+y","Arizona",3.96,40.61,.6122449,1.913265,"2007-8","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2008,"12+y","Arizona",6.7,34.87,.7066327,1.632653,"2008-9","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2008,"12-17y","Arizona",7.26,28.76,.9336734,1.862245,"2008-9","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2008,"18-25y","Arizona",17.07,22.74,1.632653,1.581633,"2008-9","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arizona",2008,"26+y","Arizona",4.86,37.75,.7423469,1.989796,"2008-9","no","no",0,0,0,0,"no","yes","Passed MML","MML-pre"
"Arkansas",2002,"12+y","Arkansas",5.63,46.86,.5535714,1.709184,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2002,"12-17y","Arkansas",7.97,39.51,.9005102,1.964286,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2002,"18-25y","Arkansas",16.48,27.94,1.505102,1.760204,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2002,"26+y","Arkansas",3.39,51.23,.6173469,2.117347,"2002-3","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2003,"12+y","Arkansas",5.8,45.34,.4897959,1.632653,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2003,"12-17y","Arkansas",8.44,37.95,.9642857,1.938776,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2003,"18-25y","Arkansas",16.07,27.58,1.454082,1.709184,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2003,"26+y","Arkansas",3.6,49.53,.5408163,2.066327,"2003-4","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2004,"12+y","Arkansas",5.52,45.03,.5178571,1.760204,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2004,"12-17y","Arkansas",7.83,35.8,1.002551,1.913265,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2004,"18-25y","Arkansas",14.4,27.23,1.377551,1.734694,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2004,"26+y","Arkansas",3.62,49.46,.5408163,2.193877,"2004-5","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2005,"12+y","Arkansas",5.7,45.7,.5331632,1.632653,"2005-6","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2005,"12-17y","Arkansas",7.71,37,.9234694,1.964286,"2005-6","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2005,"18-25y","Arkansas",14.38,26.61,1.377551,1.734694,"2005-6","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2005,"26+y","Arkansas",3.93,50.18,.5841837,2.015306,"2005-6","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2006,"12+y","Arkansas",5.84,43.22,.5459183,1.530612,"2006-7","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2006,"12-17y","Arkansas",6.69,38.44,.75,1.862245,"2006-7","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2006,"18-25y","Arkansas",15.3,26.93,1.403061,1.760204,"2006-7","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2006,"26+y","Arkansas",4.15,46.56,.5637755,1.836735,"2006-7","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2007,"12+y","Arkansas",5.48,40.76,.5714286,1.556122,"2007-8","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2007,"12-17y","Arkansas",5.71,38.84,.6581632,1.836735,"2007-8","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2007,"18-25y","Arkansas",15.46,25.08,1.479592,1.607143,"2007-8","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2007,"26+y","Arkansas",3.82,43.57,.6147959,1.862245,"2007-8","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2008,"12+y","Arkansas",6.07,39.83,.5892857,1.607143,"2008-9","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2008,"12-17y","Arkansas",6.69,36.76,.8061224,1.785714,"2008-9","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2008,"18-25y","Arkansas",16.1,22.96,1.505102,1.505102,"2008-9","no","no",0,0,0,0,"no","no","Never MML","Never MML"
"Arkansas",2008,"26+y","Arkansas",4.36,42.96,.6479592,1.964286,"2008-9","no","no",0,0,0,0,"no","no","Never MML","Never MML"
